0,40.00,2
1,39.68,2
2,59.36,3
3,37.48,2
4,38.43,2
5,27.52,2
6,53.38,3
7,27.10,2
8,72.75,3
9,36.15,2
10,40.00,2
11,50.03,3
12,56.08,3
13,13.83,1
14,13.22,1
15,13.87,1
16,38.30,2
17,87.00,4
18,79.86,4
19,40.00,2
20,41.20,2
21,50.87,3
22,78.85,4
23,30.65,2
24,87.00,4
25,29.20,2
26,40.00,2
27,24.46,1
28,57.02,3
29,57.14,3
30,87.00,4
31,30.61,2
32,13.22,1
33,32.89,2
34,75.71,4
35,58.61,3
36,87.00,4
37,28.92,2
38,87.00,4
39,13.30,1
40,40.00,2
41,35.37,2
42,79.47,4
43,32.42,2
44,40.00,2
45,33.85,2
46,78.43,4
47,36.77,2
48,83.30,4
49,30.65,2
50,77.55,4
51,40.00,2
52,29.07,2
53,80.22,4
54,24.84,1
55,13.48,1
56,40.75,2
57,34.58,2
58,32.28,2
59,23.27,1
60,71.92,3
61,51.58,3
62,13.59,1
63,55.17,3
64,71.92,3
65,26.13,2
66,40.00,2
67,77.24,4
68,13.93,1
69,39.22,2
70,13.23,1
71,33.26,2
72,32.82,2
73,39.88,2
74,32.26,2
75,26.36,2
76,87.00,4
77,57.47,3
78,78.42,4
79,31.55,2
80,60.81,3
81,51.86,3
82,56.08,3
83,47.04,2
84,40.00,2
85,77.95,4
86,78.01,4
87,59.89,3
88,26.36,2
89,33.27,2
90,31.98,2
91,87.00,4
92,13.82,1
93,76.51,4
94,31.15,2
95,81.71,4
96,20.58,1
97,18.98,1
98,13.28,1
99,39.02,2
100,13.94,1
101,38.94,2
102,33.35,2
103,13.98,1
104,19.07,1
105,13.24,1
106,80.45,4
107,39.51,2
108,13.23,1
109,35.74,2
110,40.00,2
111,37.69,2
112,63.01,3
113,37.35,2
114,69.88,3
115,76.19,4
116,14.59,1
117,71.90,3
118,19.07,1
119,40.00,2
120,31.72,2
121,51.46,3
122,57.60,3
123,13.74,1
124,77.64,4
125,13.48,1
126,22.40,1
127,39.21,2
128,36.15,2
129,51.30,3
130,75.45,4
131,22.40,1
132,34.37,2
133,80.83,4
134,65.23,3
135,87.00,4
136,87.00,4
137,87.00,4
138,31.73,2
139,82.88,4
140,13.24,1
141,40.00,2
142,54.66,3
143,45.69,2
144,32.77,2
145,87.00,4
146,13.30,1
147,37.35,2
148,20.15,1
149,87.00,4
150,13.95,1
151,32.34,2
152,13.42,1
153,24.71,1
154,84.32,4
155,13.29,1
156,61.53,3
157,13.30,1
158,13.28,1
159,85.29,4
160,67.99,3
161,39.31,2
162,18.15,1
163,36.15,2
164,52.09,3
165,26.12,2
166,30.11,2
167,25.97,2
168,14.13,1
169,40.00,2
170,60.81,3
171,27.63,2
172,40.00,2
173,66.82,3
174,36.27,2
175,13.29,1
176,26.13,2
177,58.61,3
178,31.90,2
179,40.00,2
180,77.20,4
181,22.51,1
182,72.60,3
183,31.76,2
184,33.01,2
185,87.00,4
186,13.22,1
187,29.46,2
188,19.72,1
189,36.15,2
190,42.32,2
191,13.46,1
192,29.94,2
193,24.93,1
194,19.52,1
195,33.28,2
196,39.51,2
197,77.54,4
198,40.00,2
199,40.00,2
200,13.39,1
201,65.91,3
202,40.00,2
203,32.07,2
204,20.90,1
205,80.22,4
206,25.72,2
207,85.19,4
208,50.49,3
209,13.77,1
210,13.95,1
211,25.72,2
212,87.00,4
213,14.12,1
214,36.25,2
215,34.07,2
216,78.85,4
217,60.00,3
218,44.76,2
219,39.22,2
220,13.27,1
221,27.51,2
222,19.52,1
223,14.13,1
224,25.39,2
225,13.24,1
226,67.30,3
227,30.65,2
228,13.90,1
229,87.00,4
230,68.33,3
231,85.50,4
232,35.86,2
233,37.93,2
234,13.77,1
235,34.28,2
236,18.17,1
237,35.66,2
238,87.00,4
239,85.60,4
240,35.31,2
241,52.01,3
242,24.73,1
243,87.00,4
244,40.35,2
245,64.51,3
246,35.31,2
247,87.00,4
248,38.91,2
249,24.87,1
250,24.71,1
251,54.67,3
252,13.30,1
253,38.64,2
254,13.24,1
255,61.48,3
256,14.11,1
257,28.81,2
258,14.08,1
259,69.78,3
260,38.30,2
261,87.00,4
262,23.94,1
263,17.50,1
264,72.87,3
265,56.42,3
266,13.29,1
267,87.00,4
268,29.19,2
269,62.50,3
270,13.59,1
271,87.00,4
272,32.36,2
273,71.90,3
274,40.00,2
275,52.49,3
276,13.99,1
277,69.18,3
278,73.37,3
279,14.64,1
280,74.80,3
281,13.30,1
282,34.37,2
283,13.24,1
284,31.72,2
285,13.22,1
286,14.47,1
287,13.94,1
288,61.53,3
289,40.00,2
290,14.11,1
291,40.00,2
292,68.33,3
293,13.40,1
294,13.27,1
295,73.01,3
296,13.30,1
297,13.30,1
298,30.15,2
299,25.10,2
300,51.09,3
301,13.22,1
302,55.66,3
303,67.18,3
304,40.00,2
305,13.82,1
306,13.90,1
307,13.93,1
308,75.44,4
309,13.84,1
310,23.89,1
311,32.26,2
312,13.22,1
313,13.29,1
314,40.00,2
315,64.51,3
316,32.80,2
317,21.87,1
318,13.22,1
319,39.09,2
320,13.24,1
321,14.13,1
322,75.18,4
323,74.80,3
324,81.71,4
325,13.66,1
326,23.04,1
327,35.37,2
328,52.49,3
329,13.25,1
330,30.61,2
331,40.00,2
332,36.21,2
333,87.00,4
334,20.57,1
335,17.02,1
336,53.44,3
337,50.14,3
338,13.24,1
339,17.50,1
340,13.24,1
341,83.66,4
342,87.00,4
343,13.22,1
344,18.15,1
345,13.66,1
346,13.59,1
347,35.66,2
348,68.02,3
349,32.10,2
350,19.80,1
351,87.00,4
352,87.00,4
353,57.60,3
354,21.97,1
355,21.87,1
356,60.94,3
357,55.44,3
358,78.42,4
359,64.33,3
360,24.50,1
361,80.83,4
362,13.65,1
363,13.40,1
364,50.33,3
365,28.94,2
366,75.44,4
367,13.77,1
368,43.77,2
369,69.18,3
370,31.98,2
371,51.70,3
372,13.22,1
373,20.98,1
374,78.42,4
375,13.39,1
376,13.22,1
377,13.40,1
378,53.38,3
379,38.64,2
380,44.57,2
381,87.00,4
382,87.00,4
383,29.76,2
384,86.76,4
385,35.36,2
386,17.02,1
387,13.22,1
388,80.04,4
389,33.27,2
390,83.66,4
391,87.00,4
392,13.23,1
393,40.00,2
394,77.54,4
395,61.53,3
396,37.93,2
397,45.69,2
398,37.99,2
399,78.43,4
400,24.82,1
401,31.96,2
402,13.32,1
403,13.74,1
404,33.35,2
405,13.25,1
406,78.01,4
407,39.59,2
408,75.45,4
409,50.82,3
410,25.85,2
411,38.94,2
412,21.87,1
413,52.62,3
414,87.00,4
415,87.00,4
416,57.35,3
